Assembly Accession	Source Database	Organism Name	Organism Infraspecific Names Strain	Assembly Level	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Total Number of Chromosomes	Assembly Stats GC Percent	CheckM completeness	CheckM contamination	Assembly Sequencing Tech	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly BioProject Accession	Assembly BioProject Lineage Title	Assembly Release Date
GCF_015910145.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kpn-14	Complete Genome	6068124	7	7	56.5	97.5	1.64	Illumina MiSeq, Oxford Nanopore MiniION	SAMN13747524	Rectal	N/A	N/A	Canada:Ontario	2014-09-29	PRJNA599404	Dissemination of VIM plasmids among clinical and environmental Enterobacteriacae isolates in Ontario	2020-12-10
GCF_015910165.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Kpn-13	Complete Genome	5418958	3	3	57.5	99.07	1.32	Illumina MiSeq, Oxford Nanopore MiniION	SAMN13747523	Rectal	N/A	N/A	Canada:Ontario	2015-12-14	PRJNA599404	Dissemination of VIM plasmids among clinical and environmental Enterobacteriacae isolates in Ontario	2020-12-10
GCF_015992265.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Sea Superman	Complete Genome	5719242	3	3	57	99.07	0.52	Oxford Nanopore GridION	SAMN16872510	Taichung Veterans General Hospital	Homo sapiens		Taiwan	2019-11-19	PRJNA681463	Klebsiella pneumoniae Genome sequencing and assembly	2020-12-12
GCF_015992285.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Magic conch shell	Complete Genome	5410776	3	3	57.5	98.77	0.81	Oxford Nanopore GridION	SAMN16872507	Taichung Veterans General Hospital	Homo sapiens		Taiwan	2019-11-19	PRJNA681463	Klebsiella pneumoniae Genome sequencing and assembly	2020-12-12
GCF_015992305.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Gordon	Complete Genome	5977016	4	4	57	98.81	1.04	Oxford Nanopore GridION	SAMN16872506	Taichung Veterans General Hospital	Homo sapiens		Taiwan	2019-11-19	PRJNA681463	Klebsiella pneumoniae Genome sequencing and assembly	2020-12-12
GCF_015992325.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Olaf	Complete Genome	5734811	3	3	57	98.55	0.52	Oxford Nanopore GridION	SAMN16872505	Taichung Veterans General Hospital	Homo sapiens		Taiwan	2019-11-19	PRJNA681463	Klebsiella pneumoniae Genome sequencing and assembly	2020-12-12
GCF_015992345.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Dirty Dan	Complete Genome	5350067	2	2	57.5	98.62	1.16	Oxford Nanopore GridION	SAMN16872503	Taichung Veterans General Hospital	Homo sapiens		Taiwan	2019-11-19	PRJNA668703	Klebsiella Genome sequencing and assembly	2020-12-12
GCF_015992385.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Mrs. Puff	Complete Genome	5702657	3	3	57	99.07	0.57	Oxford Nanopore GridION	SAMN16872512	Taichung Veterans General Hospital	Homo sapiens		Taiwan	2019-11-19	PRJNA681463	Klebsiella pneumoniae Genome sequencing and assembly	2020-12-12
GCF_015992405.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Patrick Star	Complete Genome	5618558	3	3	57	99.07	0.4	Oxford Nanopore GridION	SAMN16872511	Taichung Veterans General Hospital	Homo sapiens		Taiwan	2019-11-19	PRJNA681463	Klebsiella pneumoniae Genome sequencing and assembly	2020-12-12
GCF_015992425.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Ocean Ranger	Complete Genome	5988606	6	6	56.5	98.29	1.17	Oxford Nanopore GridION	SAMN16872509	Taichung Veterans General Hospital	Homo sapiens		Taiwan	2019-11-19	PRJNA681463	Klebsiella pneumoniae Genome sequencing and assembly	2020-12-12
GCF_015999625.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FK 6768	Complete Genome	5868563	6	6	57	98.42	0.3	PacBio Sequel	SAMN17005574	feces	Homo sapiens	multiple injuries, traumatic brain herniation	China	2019-05-23	PRJNA682695	Klebsiella pneumoniae strain:FK 6768 Genome sequencing	2020-12-13
GCF_016066025.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KpPF25	Complete Genome	5469485	6	6	57.5	98.9	1.35	Illumina NextSeq, ONT MinION	SAMN17016749	urine	Homo sapiens	Chronic Cystitis	USA: Dallas, Texas	2018-09	PRJNA683049	Complete Genome Sequences of Seven Uropathogenic Klebsiella spp. Strains Isolated from Postmenopausal Women with Recurrent Urinary Tract Infection (rUTI)	2020-12-15
GCF_016066295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KpC11	Complete Genome	5676463	2	2	57	98.98	1.55	Illumina NextSeq, ONT MinION	SAMN17016748	urine	Homo sapiens	Chronic Cystitis	USA: Dallas, Texas	2018-06	PRJNA683049	Complete Genome Sequences of Seven Uropathogenic Klebsiella spp. Strains Isolated from Postmenopausal Women with Recurrent Urinary Tract Infection (rUTI)	2020-12-15
GCF_016066475.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KpC5	Complete Genome	5421580	5	5	57	97.73	0.32	Illumina NextSeq, ONT MinION	SAMN17016747	urine	Homo sapiens	Chronic Cystitis	USA: Dallas, Texas	2018-05	PRJNA683049	Complete Genome Sequences of Seven Uropathogenic Klebsiella spp. Strains Isolated from Postmenopausal Women with Recurrent Urinary Tract Infection (rUTI)	2020-12-15
GCF_016067835.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	Beach Ranger	Complete Genome	5637551	4	4	57	98.29	0.39	Oxford Nanopore GridION	SAMN16872508	Taichung Veterans General Hospital	Homo sapiens		Taiwan	2019-11-19	PRJNA681463	Klebsiella pneumoniae Genome sequencing and assembly	2020-12-15
GCF_016403065.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CRKP52R	Complete Genome	5886986	5	5	57	99.05	0.43	Oxford Nanopore GridION; Illumina NextSeq	SAMN17074909	sputum	Homo sapiens	missing	China:Hangzhou	2018-05-05	PRJNA685013	Klebsiella pneumoniae subsp. pneumoniae strain:CRKP52R Genome sequencing and assembly	2020-12-26
GCF_016403085.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CRKP78R	Complete Genome	5871488	6	6	57	98.55	0.43	Oxford Nanopore GridION; Illumina NextSeq	SAMN17074911	urine sample	Homo sapiens	missing	China:Hangzhou	2018-05-23	PRJNA685015	Klebsiella pneumoniae strain:CRKP78R Genome sequencing and assembly	2020-12-26
GCF_016629585.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KSB1_9A	Complete Genome	5819707	8	8	57	98.65	1.07	Illumina HiSeq; Oxford Nanopore Technologies MinION	SAMN07211281	not collected	not collected	not collected	not collected	not collected	PRJEB6891	Hospital_acquired_Klebsiella_pneumoniae_and_the_role_of_colonization_and_transmission__Australia_	2020-12-07
GCF_016694775.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	LYS105A	Complete Genome	5259276	1	1	57.5	98.05	0.62	Illumina; Oxford Nanopore	SAMN17293201	liver	peafowl		China:Henan	2019-07-11	PRJNA691454	Klebsiella pneumoniae strain:LYS105A | isolate:liver Genome sequencing	2021-01-19
GCF_016727425.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1076	Complete Genome	5406792	4	4	57.5	98.48	1.01	Pacbio; Illumina	SAMN16357245	missing	missing	Unknown	Germany:Langen	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-01-20
GCF_016727425.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1076	Complete Genome	5406792	4	4	57.5	98.48	1.01	Pacbio; Illumina	SAMN16357245	missing	missing	Unknown	Germany:Langen	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-01-20
GCF_016772535.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	59493	Complete Genome	5768324	8	8	57	98.72	0.43	Oxford Nanopore MiniION	SAMN17348255	not applicable	Homo sapiens	not applicable	USA	2017/2018	PRJNA549322	Whole genome sequencing of common multidrug-resistant organisms, such as Methicillin-Resistant Staphylococcus aureus (MRSA), Carbapenem-Resistant Enterobacteriaceae (CRE), and Multi-drug-resistant tuberculosis (MDR-TB). Genome sequencing and assembly	2021-01-30
GCF_016772555.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	45706	Complete Genome	5485052	4	4	57.5	99.07	0.19	Oxford Nanopore MiniION	SAMN17348254	blood	Homo sapiens	not applicable	USA	2013	PRJNA549322	Whole genome sequencing of common multidrug-resistant organisms, such as Methicillin-Resistant Staphylococcus aureus (MRSA), Carbapenem-Resistant Enterobacteriaceae (CRE), and Multi-drug-resistant tuberculosis (MDR-TB). Genome sequencing and assembly	2021-01-30
GCF_016772575.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	42362	Complete Genome	5786528	4	4	57	98.92	0.28	Oxford Nanopore MiniION	SAMN17348253	blood	Homo sapiens	not applicable	USA	2013	PRJNA549322	Whole genome sequencing of common multidrug-resistant organisms, such as Methicillin-Resistant Staphylococcus aureus (MRSA), Carbapenem-Resistant Enterobacteriaceae (CRE), and Multi-drug-resistant tuberculosis (MDR-TB). Genome sequencing and assembly	2021-01-30
GCF_016772595.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	41968	Complete Genome	5640983	4	4	57	99.04	0.19	Oxford Nanopore MiniION	SAMN17348252	blood	Homo sapiens	not applicable	USA	2013	PRJNA549322	Whole genome sequencing of common multidrug-resistant organisms, such as Methicillin-Resistant Staphylococcus aureus (MRSA), Carbapenem-Resistant Enterobacteriaceae (CRE), and Multi-drug-resistant tuberculosis (MDR-TB). Genome sequencing and assembly	2021-01-30
GCF_016800965.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	fekpn2511	Complete Genome	5537477	5	5	57	98.5	1.22	Illumina MiSeq; Oxford Nanopore	SAMN17506720	urine	Homo sapiens	Urinary tract infection	China:Hengyang, Hunan	2019-12-25	PRJNA638288	Epidemiology and Genomics Features of Klebsiella spp especially ST11-K64 CR-hvKP Outbreaks	2021-02-02
GCF_016801375.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	33Kpn22	Complete Genome	6102548	6	6	56.5	97.87	0.55	PacBio RSII	SAMN16246926	blood	Homo sapiens	Bacteremia	Colombia: Bogota	2015-04-11	PRJNA665239	Klebsiella pneumoniae 33Kpn22 Genome sequencing and assembly	2021-02-02
GCF_016804025.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPN361	Complete Genome	5752069	5	5	57	99.07	0.8	Illumina NovaSeq	SAMN14752225		Homo sapiens		China:Yunnan	2016-10-03	PRJNA628847	Klebsiella pneumoniae strain:KPN361 Genome sequencing and assembly	2021-02-03
GCF_016812055.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPWX136	Complete Genome	6022812	7	7	57	99.07	0.91	Illumina MiSeq	SAMN17372728	sputum	Homo sapiens		China: Jiangsu	2020-10-15	PRJNA692837	Klebsiella pneumoniae Genome sequencing	2021-02-07
GCF_016864395.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP36M	Complete Genome	5791776	3	3	57	98.35	1.14	PacBio	SAMN05928542	urine	Homo sapiens	acute pyelonephritis	Taiwan: Tainan	2012-04-10	PRJNA343398	Klebsiella pneumoniae strain:KP36 | isolate:KP36 Genome sequencing and assembly	2021-02-11
GCF_016903115.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1327	Complete Genome	5496967	12	12	57.5	98.48	0.52	Pacbio; Illumina	SAMN16357469	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903115.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1327	Complete Genome	5496967	12	12	57.5	98.48	0.52	Pacbio; Illumina	SAMN16357469	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903155.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1326	Complete Genome	5521577	7	7	57	98.55	0.52	Pacbio; Illumina	SAMN16357468	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903155.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1326	Complete Genome	5521577	7	7	57	98.55	0.52	Pacbio; Illumina	SAMN16357468	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903195.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1305	Complete Genome	5765871	7	7	57	98.74	2.63	Pacbio; Illumina	SAMN16357447	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903195.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1305	Complete Genome	5765871	7	7	57	98.74	2.63	Pacbio; Illumina	SAMN16357447	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903235.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1324	Complete Genome	5650258	8	8	57	98.85	1.43	Pacbio; Illumina	SAMN16357466	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903235.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1324	Complete Genome	5650258	8	8	57	98.85	1.43	Pacbio; Illumina	SAMN16357466	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903255.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1311	Complete Genome	5560966	3	3	57	98.92	1.37	Pacbio; Illumina	SAMN16357453	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903255.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1311	Complete Genome	5560966	3	3	57	98.92	1.37	Pacbio; Illumina	SAMN16357453	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1323	Complete Genome	5490947	9	9	57.5	98.58	0.83	Pacbio; Illumina	SAMN16357465	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1323	Complete Genome	5490947	9	9	57.5	98.58	0.83	Pacbio; Illumina	SAMN16357465	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903395.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1313	Complete Genome	5783081	9	9	57	98.55	0.9	Pacbio; Illumina	SAMN16357455	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903395.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1313	Complete Genome	5783081	9	9	57	98.55	0.9	Pacbio; Illumina	SAMN16357455	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903455.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1318	Complete Genome	5204685	1	1	57.5	98.42	0.23	Pacbio; Illumina	SAMN16357460	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903455.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1318	Complete Genome	5204685	1	1	57.5	98.42	0.23	Pacbio; Illumina	SAMN16357460	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903475.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1315	Complete Genome	5532363	5	5	57	97.91	0.98	Pacbio; Illumina	SAMN16357457	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903475.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1315	Complete Genome	5532363	5	5	57	97.91	0.98	Pacbio; Illumina	SAMN16357457	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903495.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1312	Complete Genome	5566782	2	2	57	98.16	0.22	Pacbio; Illumina	SAMN16357454	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903495.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1312	Complete Genome	5566782	2	2	57	98.16	0.22	Pacbio; Illumina	SAMN16357454	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903515.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1330	Complete Genome	5488143	14	14	57.5	99.03	1.65	Pacbio; Illumina	SAMN16357472	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903515.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1330	Complete Genome	5488143	14	14	57.5	99.03	1.65	Pacbio; Illumina	SAMN16357472	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903735.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1325	Complete Genome	5493348	4	4	57	97.65	1.09	Pacbio; Illumina	SAMN16357467	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903735.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1325	Complete Genome	5493348	4	4	57	97.65	1.09	Pacbio; Illumina	SAMN16357467	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903755.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1317	Complete Genome	5278156	1	1	57.5	99.04	0.98	Pacbio; Illumina	SAMN16357459	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903755.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1317	Complete Genome	5278156	1	1	57.5	99.04	0.98	Pacbio; Illumina	SAMN16357459	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903775.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1307	Complete Genome	5674607	5	5	57	98.76	0.44	Pacbio; Illumina	SAMN16357449	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903775.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1307	Complete Genome	5674607	5	5	57	98.76	0.44	Pacbio; Illumina	SAMN16357449	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903795.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1308	Complete Genome	5550768	3	3	57	98.45	1.15	Pacbio; Illumina	SAMN16357450	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903795.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1308	Complete Genome	5550768	3	3	57	98.45	1.15	Pacbio; Illumina	SAMN16357450	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903875.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1329	Complete Genome	5557539	2	2	57.5	99.03	1.47	Pacbio; Illumina	SAMN16357471	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903875.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1329	Complete Genome	5557539	2	2	57.5	99.03	1.47	Pacbio; Illumina	SAMN16357471	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903895.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1321	Complete Genome	5442893	2	2	57.5	98.69	0.19	Pacbio; Illumina	SAMN16357463	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903895.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1321	Complete Genome	5442893	2	2	57.5	98.69	0.19	Pacbio; Illumina	SAMN16357463	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016903955.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1309	Complete Genome	5605382	5	5	57	98.61	1.14	Pacbio; Illumina	SAMN16357451	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016903955.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1309	Complete Genome	5605382	5	5	57	98.61	1.14	Pacbio; Illumina	SAMN16357451	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016904035.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1322	Complete Genome	5447102	4	4	57.5	98.8	1.6	Pacbio; Illumina	SAMN16357464	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016904035.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1322	Complete Genome	5447102	4	4	57.5	98.8	1.6	Pacbio; Illumina	SAMN16357464	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016904095.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1319	Complete Genome	5521518	2	2	57.5	98.81	0.37	Pacbio; Illumina	SAMN16357461	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016904095.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1319	Complete Genome	5521518	2	2	57.5	98.81	0.37	Pacbio; Illumina	SAMN16357461	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016904275.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1328	Complete Genome	5758155	6	6	57	99.03	0.19	Pacbio; Illumina	SAMN16357470	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016904275.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1328	Complete Genome	5758155	6	6	57	99.03	0.19	Pacbio; Illumina	SAMN16357470	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016904295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1306	Complete Genome	5562944	4	4	57	98.35	1.73	Pacbio; Illumina	SAMN16357448	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016904295.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1306	Complete Genome	5562944	4	4	57	98.35	1.73	Pacbio; Illumina	SAMN16357448	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016904315.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1316	Complete Genome	5489797	3	3	57.5	98.14	0.25	Pacbio; Illumina	SAMN16357458	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
GCF_016904315.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1316	Complete Genome	5489797	3	3	57.5	98.14	0.25	Pacbio; Illumina	SAMN16357458	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	The Lactobacillus genus, a use case for Bactopia.	2021-02-17
GCF_016904415.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FDAARGOS_1314	Complete Genome	5702672	6	6	57	98.66	0.56	Pacbio; Illumina	SAMN16357456	missing	Homo sapiens	Unknown	USA:WA	Unknown	PRJNA231221	FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science	2021-02-17
